feature_1,feature_2,feature_3,target
-326.35300561950567,446.7489891600645,-244.72163869838505,-1
78.03633485066848,210.37077908733932,183.1877169438469,1
90.04098422114828,106.5832256868224,161.70188438652588,1
-153.43374873545434,8.345113509075986,379.03895952619473,-1
43.7907033017965,-163.47729896079386,-280.05879143973266,-1
-66.52154636480566,183.77073584294783,202.2523110857751,-1
-273.4953387553797,-319.53517644160047,-347.66569492900834,-1
395.2240820185867,237.83822521274533,352.3525264659231,1
40.773084384989716,391.8980645436692,214.9161175227132,1
-440.504441610559,493.7506146774548,-276.3033084519415,-1
317.23701901772665,-288.33868474305893,382.7931710457058,1
-345.74726480241634,389.729026280998,-162.5697650492438,-1
-127.0360536786639,165.93961035096345,7.438765878029471,-1
-420.57704118091146,319.71879653850704,-442.45253990768396,-1
437.1902087466076,-435.21963657521553,400.12489724669274,1
278.25272166849345,-420.52623249490193,277.82779548706196,1
208.27043736418648,236.17149046208863,-443.807902008296,1
477.0829518018022,-457.2433807655728,-295.2717655218249,1
156.3843028607822,466.22942672377474,479.086435296039,1
375.555344232238,-455.00501050152553,-224.69606616773984,1
35.179267196480055,173.98352614941814,-6.28001289240234,1
-166.6707962065849,251.08908538044045,-281.19974627724457,-1
333.296648931669,-432.28982173678634,97.43059653703392,1
-258.0827271007491,384.6111762708043,-291.5870985089323,-1
65.14250866789916,-235.62491694719176,-21.138559157388954,1
-282.1889033349512,164.62035482031763,421.1093524927735,-1
72.52938189433667,148.11375428932536,281.46164829883526,1
449.10576470896524,-466.4554251875227,159.0990333249523,1
-436.4631837725682,-269.27900029520265,96.19117648791212,-1
358.096600738844,-44.84561182072434,-148.47631284943787,1
-480.97047685429993,349.2516854450655,-347.54914114116855,-1
148.47554254867987,43.736031436782696,398.8802259505727,1
268.3577646062705,-38.43867371087816,329.54268327276463,1
-65.06788379870176,-118.8409696158119,31.170371403141075,-1
354.3893155572167,122.48449660389736,-124.64765626883235,1
386.03646517114555,474.7335036444738,-309.16613010940796,1
-188.44406807353965,-363.40838061914405,-337.4906510975144,-1
439.70424605857886,-253.91063104816658,-499.5762175955346,1
437.9692044337128,112.03770158881571,-240.65290438127698,1
46.01573428339441,-99.87831440693373,492.77442184211156,1
384.45049442280174,-394.96173195927673,-28.134480387153587,1
-222.89104084554623,-308.6319289997991,-400.8737423471075,-1
250.737939139226,-352.16700133000745,257.7744009872781,1
212.24278367768102,207.97836294433478,396.7062914014265,1
-311.30282728419866,239.74944363356894,-67.04685246213626,-1
-172.80915875187952,-342.73169934889603,-445.71311100381985,-1
319.763365437263,-329.1741275762613,420.4108403530215,1
-180.7971600953905,279.6462235779013,410.28207855123867,-1
-354.5826474092688,298.25051676028147,-131.88726585520692,-1
390.63876987547985,326.0559522961381,-334.27068716904887,1
123.15570873513411,-494.60771853311616,-402.9902598627202,1
-186.08452016973445,-192.07716858782453,375.8208806412306,-1
-186.11870916195363,-278.0762986599895,191.72983040124518,-1
-371.109926098869,-224.49309143968645,381.0019235550377,-1
-183.37926980791343,-27.37931613823298,-457.2560449205053,-1
325.1746368294491,24.344609762088453,-317.9212440208365,1
86.0578677683178,233.0753190959415,52.64403751258794,1
-189.36108216736324,-373.3175634261082,-286.76671746520844,-1
320.0007293908318,39.11881509291936,123.94687730213059,1
-300.18054702762174,-316.99393211430674,55.56644951568603,-1
-36.83016321695578,-396.24572722518036,-220.4652139299066,-1
-55.31304829606296,-219.40817656551303,-31.845646048538242,-1
253.21786978210037,80.64789846969995,-317.7590557638694,1
-312.3864327990524,132.08363051573997,-141.11086366056867,-1
-22.33417694682015,188.72321513626957,-425.30301518880555,-1
261.79842003810415,265.6796363903104,-247.79957311408774,1
82.4625396288908,288.3693731503946,-488.94637300873467,1
31.61238984655688,-40.166810033854006,125.3636852411828,1
105.73175896178873,-420.08036747022334,-73.75082572526725,1
-455.2720987197273,-183.70251033445908,290.37534374987445,-1
357.9862560077163,-35.3967339142651,171.031721602812,1
88.42559972168783,162.40653643470648,259.96958938695275,1
125.32858531462693,33.29674950962908,280.51271621106355,1
-217.50492545273437,47.975428334647745,-255.258020051061,-1
-85.05598688175377,40.79810932849148,415.13782869400416,-1
322.1601299888922,127.95866107476058,23.417765479080572,1
-327.09128776000773,435.12647595010765,-139.13678870728518,-1
39.271211739689306,318.2790307906905,-405.90058162155185,-1
-491.9394465710427,-222.13196216275065,114.4173072328548,-1
-133.79292080981185,-425.6092966207938,-100.24311633280126,-1
-72.65573896622334,-49.85699198425573,-413.82992549362416,-1
389.97610320718024,-447.6127112756393,31.215178581201485,1
104.36039169555647,-436.4438066317845,-122.96003410329695,1
-214.34160180892792,109.12950534683966,13.00609520024932,-1
-154.4986307023227,466.7941781130944,366.399884785082,-1
389.9155222473829,-83.43110689835373,418.1171575327505,1
413.2006326993718,448.718132280266,204.25349194843864,1
158.68004515214545,347.6179819868647,378.98115027350866,1
-472.28339801624475,-405.2794111548285,-306.25482434263233,-1
-65.05799094533603,71.3478526780168,408.1380729859569,-1
-266.10558780239114,-220.6090844117399,375.71609382392046,-1
279.85507463133865,-491.16430119961984,-460.0448395159137,1
-121.89100492477331,-41.66206896885069,375.31642111883673,-1
377.57592033915125,247.26799166700334,226.1046136032495,1
-14.562487281030826,-302.9203371165773,201.11449771754008,1
49.7688675477508,-282.5298084282464,-297.03418081787447,1
446.49300966121973,337.4132761289453,442.1308483033631,1
-272.7727684327905,443.1001705593251,77.83305011095933,-1
101.20972822979252,-311.5319246397364,311.8187796466392,1
-73.3213648460619,265.03871103775884,94.75681710431502,-1
