feature_1,feature_2,feature_3,feature_4,feature_5,target
-6.527060112390113,8.934979783201292,-4.894432773967701,1.5607266970133704,4.207415581746787,-1
3.663754338876938,1.8008196844229651,2.1316645137364496,3.234037687730517,-3.0686749747090865,1
0.16690227018152015,7.580779190523895,0.8758140660359288,-3.269545979215877,-5.601175828794654,-1
-1.3304309272961135,3.675414716858956,4.045046221715502,-5.469906775107594,-6.3907035288320095,-1
-6.953313898580166,7.904481640371735,4.756764504254907,7.0470505293184615,0.8154616876997949,1
7.837961290873384,4.298322350454264,-8.81008883221118,9.875012293549094,-5.52606616903883,-1
6.3447403803545335,-5.766773694861178,7.655863420914116,-6.914945296048327,7.79458052561996,1
-3.2513953009848766,-2.5407210735732777,3.3187922070192695,0.14877531756058993,-8.411540823618228,-1
6.394375930770138,-8.84905079815368,8.743804174932151,-8.704392731504312,8.002497944933854,-1
5.56505443336987,-8.41052464989804,5.556555909741238,4.165408747283729,4.723429809241772,1
-8.87615804016592,9.541659036036044,-9.144867615311457,-5.905435310436498,3.1276860572156444,1
9.324588534475495,9.581728705920781,7.511106884644761,-9.100100210030512,-4.493921323354797,1
0.7035853439295998,3.4796705229883624,-0.12560025784804552,-3.333415924131698,5.02178170760881,-1
-5.62399492554489,6.6659329786333785,-8.645796434735725,1.9486119307406788,-5.161654542014982,1
7.692223525416086,-5.831741970178646,1.3028501733579834,-4.712498338943836,-0.42277118314777873,-1
-5.643778066699023,3.292407096406354,8.42218704985547,1.4505876378867342,2.9622750857865086,-1
5.629232965976705,8.982115294179305,-9.329108503750454,3.1819806664990473,-8.729263675451364,-1
-5.385580005904053,1.9238235297582413,7.16193201477688,-0.8969122364144866,-2.9695262569887575,-1
-9.619409537086,6.985033708901309,-6.95098282282337,2.969510850973599,0.8747206287356555,1
7.977604519011454,5.36715529212541,-0.7687734742175643,6.590853665455292,-1.3013576759740353,1
-2.3768193923162384,0.623407428062821,7.087786311144335,2.4496899320779484,-2.492953125376647,-1
7.72072930342291,9.494670072889477,-6.183322602188159,-3.7688813614707932,-7.2681676123828804,1
-6.749813021950288,8.794084921171578,-5.078212620963331,-9.991524351910693,8.759384088674256,-1
2.240754031776312,-4.813058087625539,0.9203146856678899,-1.9975662881386747,9.85548843684223,-1
7.6890098884560345,-7.899234639185535,-0.5626896077430725,-4.457820816910925,-6.172638579995981,-1
-8.01747484694215,5.01475878278452,-7.0433400266001485,5.155488019745562,4.244855673553619,1
4.159567258886696,7.934125828028527,-6.226056545683973,4.794988872671379,-1.3409370492427257,-1
-3.456183175037591,-6.8546339869779205,-8.914262220076397,6.395267308745261,-6.5834825515252255,-1
8.40821680706043,-3.6159432019078093,5.592924471558028,8.205641571024774,-7.091652948185376,1
5.96501033520563,-2.637745317104139,7.812775397509597,6.521119045922763,-6.685413743380977,1
2.4631141747026835,-9.892154370662322,-8.059805197254404,-3.721690403394689,-3.84154337175649,1
7.516417612824611,-3.722374183239072,-5.561525973199791,3.8345966080249028,-7.4221985219773785,-1
-4.489861828793728,7.620038471100756,-3.667585396158268,-0.5475863227646585,-9.145120898410106,1
6.503492736588981,0.48689219524176863,-6.358424880416731,1.7211573553663566,4.66150638191883,1
1.0528807502517594,-3.787221643347265,-7.466351268522164,-5.735334349304169,6.400014587816635,-1
0.7823763018583882,2.478937546042612,-6.003610940552435,-6.339878642286134,1.1113289903137193,1
-0.7366032643391147,-7.924914544503608,-4.409304278598132,-1.10626096592126,-4.38816353131026,-1
-0.6369129209707651,5.064357395642007,1.6129579693939995,-6.3551811152773885,-6.2477286559810485,1
2.6416726103147994,-2.8222172732113737,-0.4466835389364032,3.7744643027253915,-8.50606030377611,-1
5.235968400762083,5.31359272780621,-4.955991462281755,1.649250792577817,5.767387463007891,1
-9.778927460174692,0.6322477969311375,-0.8033362006770801,2.507273704823657,2.1146351792357763,1
-8.401607349404468,-1.475016514505345,-9.105441974394546,-3.6740502066891807,5.807506874997488,-1
7.159725120154327,-0.7079346782853015,3.4206344320562394,1.7685119944337568,3.2481307286941288,1
5.199391787739053,2.50657170629254,0.6659349901925822,5.6102543242212715,-4.350098509054687,-1
0.9595085666929553,-5.10516040102122,-1.701119737635075,0.8159621865698305,8.302756573880082,1
6.443202599777845,2.5591732214952128,0.46835530958161087,-6.541825755200154,8.702529519002155,1
-2.7827357741457037,0.7854242347937852,6.365580615813812,-8.118011632431037,-9.838788931420854,-1
-4.442639243255013,2.288346144657096,-2.6758584161962373,-8.512185932415877,-2.004862326656025,-1
-1.4531147793244674,-0.997139839685115,-8.276598509872484,7.799522064143606,-8.952254225512785,-1
0.6243035716240293,2.0872078339111297,-8.72887613263569,-2.459200682065939,-4.286832036178558,1
